Alpha_Cell,Beta_Cell,Delta_Cell,Gamma_Cell,Acinar_Cell,Ductal_Cell,Endothelial_Cell,Epsilon_Cell,Macrophage
,,,,LGALS12,,DNASE1L3,,
,,,,SERPINF1,,LIFR,,
,,,,CPT1B,,PCAT19,,
,,,,ELOVL3,,CDKN1C,,
,,,,PPARGC1A,,INMT,,
,,,,MPZL1,,PTGDS,,
,,,,CITED1,,TIMP3,,
,,,,DPT,,GPM6A,,
,,,,HOXC9,,FAM167B,,
,,,,ZNF423,,LTC4S,,
,,,,ESM1,,STAB2,,
